Model,MAE,MAE_std,DTW,Rolling_RMSE,Rolling_RMSE_std,CRPS,CRPS_std
gan,1.4067825604244437,0.8829224432556091,14.984668764588847,1.5543840890782312,0.5598581512931197,1.4067825604244437,0.8829224432556091
VAE,0.785914930912455,0.6803928039790407,13.575448849280319,0.8870119248802394,0.541447359169363,0.785914930912455,0.6803928039790407
VAE,0.7855504903069971,0.6795845035667485,13.570455432130798,0.8865989951467896,0.5407600837199968,0.7855504903069971,0.6795845035667485
gan,1.4058802846718192,0.8854772426966568,14.970157963325583,1.5551351445327946,0.5596617653771844,1.4058802846718192,0.8854772426966568
gan,1.4074855491046863,0.8874865269029615,14.92625523600015,1.5561896594981295,0.563943353148904,1.4074855491046863,0.8874865269029615
VAE,0.7848644797365395,0.680603751486718,13.564109289127352,0.8859160220835017,0.5421663616356673,0.7848644797365395,0.680603751486718
VAE,0.7860621108200759,0.6811108191080919,13.573815402455253,0.8871854780338949,0.5424906271168549,0.7860621108200759,0.6811108191080919
VAE,0.7844311929754318,0.6807671697027818,13.571208510874808,0.8857439207598452,0.5419747310215489,0.7844311929754318,0.6807671697027818
VAE,0.7856149609809436,0.6812063801121977,13.598911770563232,0.8867831784210835,0.5426177008862058,0.7856149609809436,0.6812063801121977
VAE,0.7848684730406639,0.6797973981512012,13.58665535879861,0.885910385884042,0.5411102839477412,0.7848684730406639,0.6797973981512012
gan,1.407961558998832,0.8886585410355246,14.994190537583624,1.5579392232408273,0.5622160533755598,1.407961558998832,0.8886585410355246
gan,1.4067498772551021,0.8854594105790717,14.994021115811176,1.5554902393401793,0.5605646739610279,1.4067498772551021,0.8854594105790717
VAE,0.7855820659744823,0.6813766055732966,13.578185410665771,0.8867631552395007,0.542746183695647,0.7855820659744823,0.6813766055732966
VAE,0.7849640897691941,0.6803701380306822,13.56175584718156,0.886229602719996,0.5414523601741041,0.7849640897691941,0.6803701380306822
gan,1.4094070127086964,0.8884139795209441,14.98385196262392,1.558842396253165,0.562667756629632,1.4094070127086964,0.8884139795209441
VAE,0.7848027483244598,0.6802881896901288,13.58708309678914,0.8859165283640611,0.541551911377043,0.7848027483244598,0.6802881896901288
gan,1.4060259704877998,0.8855935619290928,14.958505425259261,1.554948935818282,0.5608530105710794,1.4060259704877998,0.8855935619290928
gan,1.4086009464245193,0.8837061342052995,14.99523271712717,1.5573196161898457,0.557332841192013,1.4086009464245193,0.8837061342052995
VAE,0.7851728854636092,0.681176526377214,13.566613222455205,0.8864267204765424,0.5424824556275555,0.7851728854636092,0.681176526377214
gan,1.406909406601553,0.8836664754724661,14.95777576921616,1.5546292311827428,0.5607958671034227,1.406909406601553,0.8836664754724661
VAE,0.785777263507346,0.6797712583495873,13.56065716618352,0.8866404531723249,0.541211914672876,0.785777263507346,0.6797712583495873
VAE,0.7850536764827776,0.6789677501527376,13.55359100247195,0.8858672816645747,0.5404573482110553,0.7850536764827776,0.6789677501527376
gan,1.4067175418889002,0.8855271663821632,14.970434237453315,1.5563268921082742,0.5583993887761385,1.4067175418889002,0.8855271663821632
VAE,0.7851312967492189,0.680598467153182,13.575711408814344,0.8865738074349102,0.5414413805497995,0.7851312967492189,0.680598467153182
VAE,0.7845963026658721,0.680284018995221,13.546686449822731,0.8858764602359325,0.541399446080531,0.7845963026658721,0.680284018995221
gan,1.4070172814630422,0.8864370504223862,15.002442235930088,1.5563619024585613,0.5600668824775892,1.4070172814630422,0.8864370504223862
VAE,0.7846122457926509,0.6802748885711009,13.57440222962092,0.8856937293804569,0.5416498526520606,0.7846122457926509,0.6802748885711009
